sequence,elapsed_ms,type,direction,id,bytes,name,details,hex,marker
169,1437,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 88 00 00 00 16 0b 26 30 fa cb 09 51 6e 63 1f 50 84 00 00 00 02 27 12 80 00 00 00 00 00 01 a5 04 04 80",""
170,1437,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 88 00 04 46 ad 68 3f e8 5e 14 be 50 37 c8 be 57 bb 99 c3 dd 34 25 45 31 a8 82 42 00 00 00 00 3f 36",""
171,1437,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf ae 00 00 00 15 54 e5 b0 e3 79 09 91 6c 24 9f 10 80 00 00 00 00 c6 db 00 00 00 00 00 00 01 a5 04 e8 80",""
172,1438,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 57 00 00 00 02 e3 63 70 d2 da c9 91 7b a3 1e 90 80 00 00 00 01 ce b5 80 00 00 00 00 00 01 28 00 04 11",""
173,1438,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 9e 00 64 bf c0 00 25 98 62 f0 ca 1e c9 91 60 9c de 90 80 00 00 00 03 d5 bf 40 00 03 31 16 6c f1 37 9e 4b 2f fd fd 00 00 00 80",""
174,1461,"PACKET","IN",207,49,"PlayerSync","id=207 bytes=49","cf 30 00 00 00 05 42 e6 f0 f1 d7 49 d1 7b 67 1f 10 84 00 00 00 02 42 33 00 00 00 00 00 00 03 ff fe 00 00 00 00 00 00 00 00 00 00 00 01 28 00 04 11",""
175,1462,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 9c 80 63 bf c0 00 02 98 22 f0 d3 de c9 91 5c 1c de 90 80 00 00 00 02 45 b3 40 00 00 9a 66 64 f2 bb 90 23 3f fd fd 00 00 00 80",""
176,1462,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 1f 00 00 00 05 25 a8 30 e1 ff 09 91 7b 67 1f 10 84 00 00 00 03 0b 6f 00 00 00 00 00 00 01 a5 04 e8 80",""
177,1462,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 9b 00 63 7f c0 00 1a 57 a2 f0 de 9e c9 91 57 5c de 90 80 00 00 00 01 71 ab 40 00 00 20 26 94 f1 47 8b cf 47 fd fd 00 00 00 80",""
178,1462,"RPC","IN",87,2,"ClearPlayerAnimation","id=87 bytes=2","92 00",""
179,1462,"RPC","IN",86,29,"ApplyPlayerAnimation","id=86 bytes=29","92 00 05 43 41 52 52 59 0b 63 72 72 79 5f 70 72 74 69 61 6c 33 33 83 40 00 00 00 00 00",""
180,1481,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 9a 00 63 3f c0 00 32 17 22 f0 e9 de c9 91 52 9c de 90 80 00 00 00 03 9d a3 40 00 02 13 fe 9c f2 fb 83 3b 4f fd fd 00 00 00 80",""
181,1501,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 83 00 00 00 08 58 a5 b0 cc 06 09 d1 6c 24 9f 10 80 00 00 00 02 4a 06 40 00 00 00 00 00 01 28 00 04 11",""
182,1502,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 83 00 04 a2 85 73 3f 14 8b 9d 3e b1 86 a9 bc 89 89 97 c3 3f 0c 27 45 8b 2c 7f 42 00 00 00 00 3f c6",""
183,1532,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 0b 00 00 00 26 e3 e3 70 fb 2c c9 91 58 1f 9e 90 80 00 00 00 02 ce f7 c0 00 00 00 00 00 01 28 00 04 11",""
184,1532,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 0b 00 04 6d e2 f8 3e 51 3c 5f 3f b0 25 6b bd 09 3b 8e c3 7c 8d 26 45 c2 86 7d 42 00 00 00 00 3f 36",""
185,1533,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 97 00 62 7f c0 00 2f 56 62 f0 ff de c9 91 49 9c de 90 80 00 00 00 03 09 8f 40 00 00 21 9a 78 f3 cf 77 b7 5b fd fd 00 00 00 80",""
186,1533,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf b2 00 00 00 01 e5 62 f0 f2 25 c9 91 76 5d 5e 90 84 00 00 00 00 94 12 80 00 00 00 00 00 01 28 00 04 11",""
