sequence,elapsed_ms,type,direction,id,bytes,name,details,hex,marker
559,2703,"PACKET","IN",207,41,"PlayerSync","id=207 bytes=41","cf 46 00 00 00 2c 6b a2 f0 e4 68 c9 91 5d 66 df d0 80 00 00 00 00 00 03 c0 00 02 78 0a bc f3 fd fc f9 fb ef fd 2a 04 04 80",""
560,2703,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 1a 00 e0 ff f5 3f c0 00 15 a1 ec 70 e2 ca 89 d1 4e c0 a0 50 80 00 00 00 00 34 71 80 00 01 1c 94 ac f4 62 73 7f f3 fd fd c8 04 04 80",""
561,2703,"PACKET","IN",200,44,"VehicleSync","id=200 bytes=44","c8 55 00 46 00 0e 00 00 00 00 00 68 10 01 30 02 ca 6c cd 58 6c 3c 66 72 44 5e b0 57 94 28 6e 8f 23 e7 bf e9 b9 37 47 fd 50 3f 00 00",""
562,2703,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 55 00 12 6e 0b 6c 3f 50 9e 2d 3e 29 28 b2 be 14 7e 8a c3 ca 52 24 45 6e 83 84 42 00 00 00 00 00 44",""
563,2703,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 60 00 88 00 60 bf c0 00 18 17 29 b0 e0 89 c9 d1 4f 35 9e d0 84 00 00 00 01 d4 55 c0 00 03 9f da 9c f7 c9 ad ab fb fd fd ac 04 64 80",""
564,2703,"PACKET","IN",207,41,"PlayerSync","id=207 bytes=41","cf 92 00 00 00 1b cb 23 30 fc d9 49 91 73 1f 1e 90 84 00 00 00 02 9b 21 c0 00 03 9c b8 30 ef fd ff ff ff fd fd a5 04 04 80",""
565,2704,"RPC","IN",105,19,"TextDrawSetString","id=105 bytes=19","2f 01 0f 00 30 39 20 41 67 75 73 74 75 73 20 32 30 32 36",""
566,2704,"RPC","IN",105,12,"TextDrawSetString","id=105 bytes=12","30 01 08 00 31 32 3a 30 32 3a 33 35",""
567,2704,"PACKET","OUT",207,69,"PlayerSync","id=207 bytes=69","cf 00 00 00 00 00 00 73 61 95 c3 e9 46 26 45 82 99 7b 42 03 3f bf 3e 00 00 00 00 00 00 00 00 71 78 6d 3f 64 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 a5 04 04 80",""
568,2731,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 1a 00 e1 ff f4 7f c0 00 16 a1 ac 70 c6 0a c9 d1 6e 00 20 50 80 00 00 00 03 64 81 80 00 01 ec 18 b0 f7 8a 6f af f3 fd fd c8 04 04 80",""
569,2731,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 60 00 87 00 60 7f c0 00 0b 57 a9 b0 f5 8a 09 d1 61 35 1e d0 84 00 00 00 03 d0 59 c0 00 00 78 56 98 f6 71 a8 cb fb fd fd ac 04 64 80",""
570,2731,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 1a 00 e1 ff f3 ff c0 00 0b e1 6c 70 e9 8a c9 d1 48 bf e0 10 80 00 00 00 01 14 89 80 00 01 88 10 bc f6 4e 83 1f ef fd fd c8 04 04 80",""
571,2756,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 1a 00 e2 7f f3 7f c0 00 3c a0 ec 70 cd 8b 09 d1 60 bf 60 10 80 00 00 00 02 9c 91 80 00 01 24 88 cc f7 da 85 a3 ef fd fd c8 04 04 80",""
